Job Titles,Department,Full or Part-Time,Gender,Annual Salary Bin,
FIREFIGHTER/PARAMEDIC,FIRE,F,female,100-119,
POLICE OFFICER,POLICE,F,male,80-99,
LIBRARIAN I,PUBLIC LIBRARY,F,female,80-99,
POLICE OFFICER,POLICE,F,male,80-99,
SERGEANT,POLICE,F,male,100-119,
SANITATION LABORER,STREETS & SAN,F,female,80-99,
POLICE OFFICER,POLICE,F,male,80-99,
FIRE ENGINEER-EMT,FIRE,F,male,100-119,
POLICE OFFICER,POLICE,F,male,80-99,
FIRE ENGINEER-EMT,FIRE,F,male,100-119,
POLICE OFFICER,POLICE,F,male,80-99,
POLICE OFFICER,POLICE,F,female,80-99,
GENERAL LABORER - DSS,STREETS & SAN,F,male,40-59,
POLICE OFFICER,POLICE,F,male,80-99,
POLICE OFFICER,POLICE,F,male,80-99,
PARAMEDIC I/C,FIRE,F,male,100-119,
POLICE OFFICER,POLICE,F,female,80-99,
PARAMEDIC I/C,FIRE,F,male,100-119,
POLICE OFFICER,POLICE,F,male,60-79,
AVIATION SECURITY OFFICER,AVIATION,F,male,60-79,
POLICE OFFICER,POLICE,F,male,80-99,
FIREFIGHTER-EMT (RECRUIT),FIRE,F,male,60-79,
SERGEANT,POLICE,F,male,120-139,
POOL MOTOR TRUCK DRIVER,STREETS & SAN,F,female,60-79,
MOTOR TRUCK DRIVER,AVIATION,F,male,60-79,
POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,F,male,80-99,
POLICE OFFICER,POLICE,F,female,40-59,
MOTOR TRUCK DRIVER,AVIATION,F,male,60-79,
MOTOR TRUCK DRIVER,PUBLIC LIBRARY,F,male,80-99,
POLICE OFFICER,POLICE,F,male,60-79,
POLICE OFFICER,POLICE,F,female,80-99,
LIBRARY PAGE,PUBLIC LIBRARY,P,female,0-39,
FIREFIGHTER-EMT,FIRE,F,male,80-99,
POLICE OFFICER,POLICE,F,male,80-99,
POLICE OFFICER,POLICE,F,male,80-99,
PARAMEDIC,FIRE,F,male,80-99,
POLICE OFFICER,POLICE,F,male,80-99,
POLICE OFFICER,POLICE,F,male,80-99,
POLICE OFFICER,POLICE,F,male,80-99,
POLICE OFFICER,POLICE,F,male,60-79,
POLICE OFFICER,POLICE,F,female,80-99,
POLICE OFFICER,POLICE,F,male,60-79,
POOL MOTOR TRUCK DRIVER,STREETS & SAN,F,male,60-79,
POLICE OFFICER,POLICE,F,male,80-99,
POOL MOTOR TRUCK DRIVER,AVIATION,F,male,60-79,
POLICE OFFICER,POLICE,F,female,80-99,
AVIATION SECURITY OFFICER,AVIATION,F,female,40-59,
SANITATION LABORER,STREETS & SAN,F,male,80-99,
POLICE OFFICER / FLD TRNG OFFICER,POLICE,F,male,80-99,
POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,F,female,80-99,
POOL MOTOR TRUCK DRIVER,STREETS & SAN,F,male,0-39,
POLICE OFFICER / FLD TRNG OFFICER,POLICE,F,male,100-119,
SERGEANT,POLICE,F,male,100-119,
POLICE OFFICER,POLICE,F,female,80-99,
POLICE OFFICER,POLICE,F,female,80-99,
SERGEANT,POLICE,F,male,120-139,
POLICE COMMUNICATIONS OPERATOR II,OEMC,F,male,60-79,
POLICE OFFICER,POLICE,F,male,80-99,
POLICE OFFICER / FLD TRNG OFFICER,POLICE,F,male,80-99,
ADMINISTRATIVE ASST II,ADMIN HEARNG,F,female,60-79,
POLICE OFFICER,POLICE,F,male,80-99,
POLICE OFFICER,POLICE,F,male,80-99,
POLICE OFFICER,POLICE,F,female,80-99,
MOTOR TRUCK DRIVER,WATER MGMNT,F,male,60-79,
POLICE OFFICER,POLICE,F,female,80-99,
FIRE ENGINEER-EMT,FIRE,F,male,100-119,
SANITATION LABORER,STREETS & SAN,F,male,80-99,
POLICE OFFICER,POLICE,F,male,80-99,
ADMINISTRATIVE ASST II,BUSINESS AFFAIRS,F,female,60-79,
POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,F,male,80-99,
FIREFIGHTER-EMT (RECRUIT),FIRE,F,male,80-99,
POLICE OFFICER,POLICE,F,female,60-79,
POLICE OFFICER,POLICE,F,male,60-79,
FIRE ENGINEER-EMT,FIRE,F,male,100-119,
FIREFIGHTER-EMT,FIRE,F,male,100-119,
POLICE OFFICER,POLICE,F,male,80-99,
LIEUTENANT-EMT,FIRE,F,male,120-139,
PARAMEDIC I/C,FIRE,F,female,100-119,
AVIATION SECURITY OFFICER,AVIATION,F,male,80-99,
POLICE OFFICER,POLICE,F,male,80-99,
POLICE OFFICER,POLICE,F,male,80-99,
FIRE ENGINEER-EMT,FIRE,F,male,100-119,
POLICE OFFICER,POLICE,F,male,80-99,
FIREFIGHTER-EMT,FIRE,F,male,100-119,
POLICE OFFICER,POLICE,F,female,80-99,
POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,F,female,100-119,
POLICE OFFICER / FLD TRNG OFFICER,POLICE,F,male,80-99,
POLICE OFFICER,POLICE,F,male,80-99,
FIRE ENGINEER-EMT,FIRE,F,male,100-119,
FIREFIGHTER-EMT,FIRE,F,male,100-119,
POLICE OFFICER,POLICE,F,male,80-99,
CONSTRUCTION LABORER,WATER MGMNT,F,male,80-99,
POLICE OFFICER,POLICE,F,male,40-59,
AVIATION SECURITY OFFICER,AVIATION,F,male,80-99,
POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,F,male,80-99,
POLICE OFFICER,POLICE,F,male,80-99,
PARAMEDIC I/C,FIRE,F,male,100-119,
FIREFIGHTER-EMT,FIRE,F,male,100-119,
CONSTRUCTION LABORER,WATER MGMNT,F,female,80-99,
POLICE OFFICER,POLICE,F,male,40-59,
POLICE OFFICER,POLICE,F,male,80-99,
POLICE OFFICER,POLICE,F,male,80-99,
SERGEANT,POLICE,F,male,120-139,
LIBRARY PAGE,PUBLIC LIBRARY,P,female,0-39,
POOL MOTOR TRUCK DRIVER,STREETS & SAN,F,female,60-79,
FIREFIGHTER-EMT,FIRE,F,male,80-99,
POLICE OFFICER,POLICE,F,male,80-99,
POLICE OFFICER,POLICE,F,male,80-99,
POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,F,male,80-99,
LIEUTENANT,POLICE,F,male,120-139,
LIEUTENANT,POLICE,F,male,140+,
POLICE OFFICER,POLICE,F,male,80-99,
FIREFIGHTER-EMT,FIRE,F,male,100-119,
POLICE OFFICER (ASSIGNED AS EVIDENCE TECHNICIAN),POLICE,F,male,80-99,
POLICE OFFICER,POLICE,F,male,80-99,
PARAMEDIC,FIRE,F,female,80-99,
POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,F,male,100-119,
ELECTRICAL MECHANIC,AVIATION,F,male,100-119,
PARAMEDIC I/C,FIRE,F,female,100-119,
POLICE OFFICER,POLICE,F,female,80-99,
MOTOR TRUCK DRIVER,AVIATION,F,male,60-79,
ELECTRICAL MECHANIC,PUBLIC SAFETY ADMIN,F,male,100-119,
PARAMEDIC I/C,FIRE,F,male,100-119,
PARAMEDIC I/C,FIRE,F,male,100-119,
PARAMEDIC I/C,FIRE,F,female,100-119,
POLICE OFFICER,POLICE,F,male,80-99,
POLICE OFFICER,POLICE,F,female,80-99,
SERGEANT,POLICE,F,male,120-139,
POLICE OFFICER,POLICE,F,male,80-99,
FIREFIGHTER-EMT,FIRE,F,male,80-99,
POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,F,male,80-99,
POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,F,female,100-119,
PARAMEDIC,FIRE,F,male,80-99,
POLICE OFFICER,POLICE,F,male,60-79,
POLICE OFFICER,POLICE,F,male,80-99,
CAPTAIN-EMT,FIRE,F,male,140+,
SERGEANT,POLICE,F,male,100-119,
POLICE OFFICER,POLICE,F,male,60-79,
SERGEANT,POLICE,F,male,120-139,
FIREFIGHTER-EMT,FIRE,F,male,100-119,
DETENTION AIDE,POLICE,F,male,80-99,
SERGEANT,POLICE,F,male,100-119,
FIREFIGHTER-EMT (RECRUIT),FIRE,F,male,60-79,
POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,F,female,80-99,
POLICE OFFICER,POLICE,F,male,80-99,
POLICE OFFICER,POLICE,F,female,80-99,
PARAMEDIC,FIRE,F,male,80-99,
FIREFIGHTER-EMT,FIRE,F,male,100-119,
POLICE OFFICER,POLICE,F,female,60-79,
POLICE OFFICER,POLICE,F,male,60-79,
MOTOR TRUCK DRIVER,STREETS & SAN,F,male,60-79,
SANITATION LABORER,STREETS & SAN,F,male,80-99,
POLICE OFFICER,POLICE,F,female,80-99,
SERGEANT,POLICE,F,male,100-119,
LIBRARY PAGE,PUBLIC LIBRARY,P,female,0-39,
POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,F,male,80-99,
SERGEANT,POLICE,F,male,120-139,
FIREFIGHTER-EMT,FIRE,F,male,100-119,
FIREFIGHTER-EMT,FIRE,F,male,100-119,
POLICE OFFICER,POLICE,F,male,80-99,
FIREFIGHTER-EMT (RECRUIT),FIRE,F,male,60-79,
SERGEANT,POLICE,F,male,120-139,
POLICE OFFICER,POLICE,F,male,80-99,
OPERATING ENGINEER-GROUP C,WATER MGMNT,F,male,100-119,
ADMINISTRATIVE ASST II,BUILDINGS,F,female,60-79,
POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,F,male,80-99,
POLICE OFFICER,POLICE,F,male,80-99,
MOTOR TRUCK DRIVER,STREETS & SAN,F,male,60-79,
POLICE OFFICER,POLICE,F,male,80-99,
SERGEANT,POLICE,F,male,120-139,
POLICE OFFICER,POLICE,F,male,80-99,
LIEUTENANT,POLICE,F,male,120-139,
CONSTRUCTION LABORER,WATER MGMNT,F,male,80-99,
POLICE OFFICER,POLICE,F,male,80-99,
POLICE OFFICER,POLICE,F,male,60-79,
GENERAL LABORER - DSS,STREETS & SAN,F,male,40-59,
POLICE OFFICER,POLICE,F,male,80-99,
POLICE OFFICER,POLICE,F,female,80-99,
POLICE OFFICER,POLICE,F,male,80-99,
GENERAL LABORER - DSS,STREETS & SAN,F,male,40-59,
FOSTER GRANDPARENT,FAMILY & SUPPORT,P,female,0-39,
SANITATION LABORER,STREETS & SAN,F,male,80-99,
MOTOR TRUCK DRIVER,WATER MGMNT,F,male,60-79,
FIREFIGHTER-EMT (RECRUIT),FIRE,F,male,80-99,
FOSTER GRANDPARENT,FAMILY & SUPPORT,P,female,0-39,
DETENTION AIDE,POLICE,F,male,80-99,
TRAFFIC CONTROL AIDE-HOURLY,OEMC,P,male,0-39,
POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,F,female,100-119,
GENERAL LABORER - DSS,STREETS & SAN,F,female,40-59,
POLICE COMMUNICATIONS OPERATOR I,OEMC,F,male,60-79,
POLICE OFFICER,POLICE,F,female,80-99,
GENERAL LABORER - DSS,STREETS & SAN,F,male,40-59,
SANITATION LABORER,STREETS & SAN,F,male,80-99,
POLICE OFFICER,POLICE,F,female,80-99,
POLICE COMMUNICATIONS OPERATOR II,OEMC,F,female,60-79,
POLICE OFFICER,POLICE,F,female,80-99,
POLICE OFFICER,POLICE,F,male,80-99,
POLICE OFFICER,POLICE,F,male,60-79,
POLICE OFFICER,POLICE,F,female,80-99,
SERGEANT,POLICE,F,male,120-139,
FIREFIGHTER-EMT,FIRE,F,male,100-119,
POLICE OFFICER,POLICE,F,female,80-99,
POLICE OFFICER,POLICE,F,male,60-79,
SANITATION LABORER,STREETS & SAN,F,male,80-99,
CONSTRUCTION LABORER,WATER MGMNT,F,female,80-99,
AVIATION SECURITY OFFICER,AVIATION,F,male,60-79,
POLICE OFFICER,POLICE,F,male,80-99,
MOTOR TRUCK DRIVER,STREETS & SAN,F,male,60-79,
POLICE OFFICER,POLICE,F,female,60-79,
CONSTRUCTION LABORER,WATER MGMNT,F,male,80-99,
POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,F,male,100-119,
GENERAL LABORER - DSS,STREETS & SAN,F,male,40-59,
POLICE OFFICER,POLICE,F,male,80-99,
ELECTRICAL MECHANIC,AVIATION,F,male,100-119,
POLICE OFFICER,POLICE,F,male,80-99,
POOL MOTOR TRUCK DRIVER,AVIATION,F,male,60-79,
ADMINISTRATIVE ASST II,BUSINESS AFFAIRS,F,female,60-79,
SERGEANT,POLICE,F,male,120-139,
FIREFIGHTER-EMT,FIRE,F,male,100-119,
SANITATION LABORER,STREETS & SAN,F,male,80-99,
CONSTRUCTION LABORER,WATER MGMNT,F,male,80-99,
POLICE OFFICER,POLICE,F,male,80-99,
POLICE OFFICER,POLICE,F,male,80-99,
POLICE OFFICER,POLICE,F,male,80-99,
FOSTER GRANDPARENT,FAMILY & SUPPORT,P,female,0-39,
POLICE OFFICER,POLICE,F,male,40-59,
LIEUTENANT-EMT,FIRE,F,male,120-139,
AVIATION SECURITY OFFICER,AVIATION,F,male,60-79,
PARAMEDIC,FIRE,F,male,60-79,
POLICE OFFICER,POLICE,F,male,80-99,
MOTOR TRUCK DRIVER,STREETS & SAN,F,male,60-79,
POLICE COMMUNICATIONS OPERATOR I,OEMC,F,female,40-59,
POLICE COMMUNICATIONS OPERATOR II,OEMC,F,female,40-59,
POLICE OFFICER,POLICE,F,female,60-79,
POOL MOTOR TRUCK DRIVER,AVIATION,F,male,60-79,
POLICE OFFICER,POLICE,F,male,80-99,
CONSTRUCTION LABORER,WATER MGMNT,F,male,80-99,
PARAMEDIC I/C,FIRE,F,male,80-99,
POLICE OFFICER,POLICE,F,male,80-99,
MOTOR TRUCK DRIVER,AVIATION,F,male,60-79,
CONSTRUCTION LABORER,WATER MGMNT,F,male,80-99,
MOTOR TRUCK DRIVER,STREETS & SAN,F,male,60-79,
POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,F,male,80-99,
FOSTER GRANDPARENT,FAMILY & SUPPORT,P,female,0-39,
POLICE OFFICER,POLICE,F,male,80-99,
LIEUTENANT-EMT,FIRE,F,male,120-139,
FIREFIGHTER/PARAMEDIC,FIRE,F,male,100-119,
POLICE OFFICER,POLICE,F,male,80-99,
POLICE OFFICER,POLICE,F,female,80-99,
SERGEANT,POLICE,F,male,100-119,
POLICE OFFICER,POLICE,F,male,80-99,
MOTOR TRUCK DRIVER,WATER MGMNT,F,male,60-79,
FIRE ENGINEER-EMT,FIRE,F,male,100-119,
POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,F,male,100-119,
SERGEANT,POLICE,F,male,100-119,
POLICE OFFICER,POLICE,F,male,80-99,
POLICE OFFICER,POLICE,F,male,60-79,
POOL MOTOR TRUCK DRIVER,STREETS & SAN,F,male,60-79,
POLICE OFFICER,POLICE,F,male,80-99,
POLICE OFFICER,POLICE,F,male,80-99,
POLICE OFFICER,POLICE,F,male,60-79,
DETENTION AIDE,POLICE,F,male,60-79,
FOSTER GRANDPARENT,FAMILY & SUPPORT,P,female,0-39,
POOL MOTOR TRUCK DRIVER,STREETS & SAN,F,male,60-79,
POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,F,male,100-119,
POLICE OFFICER,POLICE,F,female,80-99,
POLICE OFFICER,POLICE,F,male,80-99,
POLICE OFFICER,POLICE,F,male,80-99,
FIREFIGHTER,FIRE,F,male,80-99,
POLICE COMMUNICATIONS OPERATOR II,OEMC,F,female,60-79,
POLICE OFFICER,POLICE,F,female,80-99,
POLICE COMMUNICATIONS OPERATOR I,OEMC,F,female,60-79,
POOL MOTOR TRUCK DRIVER,AVIATION,F,male,60-79,
LIBRARIAN I,PUBLIC LIBRARY,F,female,60-79,
POLICE OFFICER,POLICE,F,male,60-79,
POLICE OFFICER,POLICE,F,male,60-79,
POLICE OFFICER,POLICE,F,female,80-99,
FIREFIGHTER-EMT,FIRE,F,male,100-119,
POLICE OFFICER,POLICE,F,male,60-79,
FOSTER GRANDPARENT,FAMILY & SUPPORT,P,female,0-39,
FIREFIGHTER-EMT,FIRE,F,male,100-119,
FIREFIGHTER/PARAMEDIC,FIRE,F,male,100-119,
POLICE COMMUNICATIONS OPERATOR I,OEMC,F,female,60-79,
FIREFIGHTER-EMT,FIRE,F,male,100-119,
FIREFIGHTER-EMT,FIRE,F,male,80-99,
POLICE OFFICER,POLICE,F,male,80-99,
SANITATION LABORER,STREETS & SAN,F,male,80-99,
POLICE OFFICER,POLICE,F,male,80-99,
ELECTRICAL MECHANIC,DAIS,F,male,100-119,
POLICE OFFICER,POLICE,F,male,80-99,
FIREFIGHTER-EMT,FIRE,F,male,80-99,
POLICE OFFICER,POLICE,F,male,80-99,
POLICE OFFICER,POLICE,F,male,80-99,
FIREFIGHTER-EMT,FIRE,F,male,80-99,
TRAFFIC CONTROL AIDE-HOURLY,OEMC,P,female,0-39,
FIREFIGHTER-EMT (RECRUIT),FIRE,F,male,60-79,
POLICE OFFICER,POLICE,F,female,80-99,
POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,F,male,100-119,
POLICE OFFICER,POLICE,F,male,60-79,
FIREFIGHTER,FIRE,F,male,100-119,
POLICE OFFICER,POLICE,F,male,80-99,
MOTOR TRUCK DRIVER,WATER MGMNT,F,female,60-79,
POOL MOTOR TRUCK DRIVER,AVIATION,F,male,60-79,
MOTOR TRUCK DRIVER,WATER MGMNT,F,male,60-79,
FIREFIGHTER,FIRE,F,male,100-119,
POLICE OFFICER,POLICE,F,male,80-99,
FIREFIGHTER-EMT,FIRE,F,male,100-119,
POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,F,male,100-119,
SERGEANT,POLICE,F,male,120-139,
MOTOR TRUCK DRIVER,TRANSPORTN,F,male,60-79,
MOTOR TRUCK DRIVER,STREETS & SAN,F,male,60-79,
POLICE OFFICER,POLICE,F,male,80-99,
POOL MOTOR TRUCK DRIVER,AVIATION,P,male,0-39,
FOSTER GRANDPARENT,FAMILY & SUPPORT,P,female,0-39,
FIREFIGHTER-EMT,FIRE,F,male,100-119,
POLICE OFFICER,POLICE,F,male,60-79,
ADMINISTRATIVE ASST II,POLICE,F,female,60-79,
FOSTER GRANDPARENT,FAMILY & SUPPORT,P,female,0-39,
MOTOR TRUCK DRIVER,STREETS & SAN,F,male,60-79,
POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,F,male,100-119,
POLICE OFFICER,POLICE,F,male,60-79,
POLICE COMMUNICATIONS OPERATOR I,OEMC,F,female,60-79,
POLICE COMMUNICATIONS OPERATOR II,OEMC,F,female,60-79,
DETENTION AIDE,POLICE,F,male,60-79,
OPERATING ENGINEER-GROUP C,AVIATION,F,male,100-119,
POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,F,male,80-99,
LIEUTENANT,POLICE,F,male,140+,
POLICE COMMUNICATIONS OPERATOR II,OEMC,F,female,80-99,
POLICE OFFICER,POLICE,F,female,80-99,
ELECTRICAL MECHANIC,AVIATION,F,male,100-119,
CONSTRUCTION LABORER,WATER MGMNT,F,female,80-99,
LIBRARY PAGE,PUBLIC LIBRARY,P,female,0-39,
PLUMBER,WATER MGMNT,F,male,100-119,
POLICE OFFICER,POLICE,F,female,80-99,
ELECTRICAL MECHANIC,AVIATION,F,male,100-119,
POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,F,male,100-119,
POLICE OFFICER,POLICE,F,male,80-99,
POLICE OFFICER,POLICE,F,male,80-99,
FIREFIGHTER-EMT,FIRE,F,male,80-99,
POLICE OFFICER,POLICE,F,female,80-99,
POLICE OFFICER,POLICE,F,male,80-99,
FIREFIGHTER,FIRE,F,male,100-119,
OPERATING ENGINEER-GROUP A,DAIS,F,male,100-119,
MOTOR TRUCK DRIVER,AVIATION,F,female,60-79,
POLICE OFFICER,POLICE,F,male,80-99,
PARAMEDIC I/C,FIRE,F,male,100-119,
POLICE OFFICER,POLICE,F,male,60-79,
POLICE OFFICER,POLICE,F,male,60-79,
POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,F,male,100-119,
FIREFIGHTER/PARAMEDIC,FIRE,F,male,100-119,
POLICE COMMUNICATIONS OPERATOR I,OEMC,F,female,80-99,
FIREFIGHTER-EMT (RECRUIT),FIRE,F,male,80-99,
PARAMEDIC I/C,FIRE,F,male,100-119,
POLICE OFFICER,POLICE,F,male,80-99,
PARAMEDIC,FIRE,F,male,60-79,
FIREFIGHTER/PARAMEDIC,FIRE,F,male,100-119,
CAPTAIN-EMT,FIRE,F,male,140+,
POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,F,male,100-119,
POLICE OFFICER,POLICE,F,male,80-99,
LIEUTENANT-EMT,FIRE,F,male,120-139,
FIRE ENGINEER-EMT,FIRE,F,male,100-119,
FIREFIGHTER-EMT,FIRE,F,male,100-119,
PARAMEDIC I/C,FIRE,F,male,100-119,
POLICE OFFICER,POLICE,F,male,80-99,
POLICE OFFICER,POLICE,F,male,60-79,
SERGEANT,POLICE,F,male,120-139,
FIRE ENGINEER-EMT,FIRE,F,male,100-119,
FIREFIGHTER-EMT,FIRE,F,male,80-99,
POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,F,male,100-119,
POLICE OFFICER,POLICE,F,male,80-99,
POLICE OFFICER,POLICE,F,male,60-79,
POLICE OFFICER,POLICE,F,male,80-99,
POLICE OFFICER,POLICE,F,female,80-99,
PARAMEDIC I/C,FIRE,F,female,100-119,
POLICE OFFICER,POLICE,F,male,60-79,
POLICE OFFICER,POLICE,F,male,60-79,
MOTOR TRUCK DRIVER,DAIS,F,male,60-79,
DETENTION AIDE,POLICE,F,male,60-79,
MACHINIST (AUTOMOTIVE),DAIS,F,male,100-119,
FIREFIGHTER/PARAMEDIC,FIRE,F,male,100-119,
POLICE OFFICER,POLICE,F,male,80-99,
POLICE OFFICER,POLICE,F,male,80-99,
MOTOR TRUCK DRIVER,AVIATION,F,male,60-79,
POLICE OFFICER,POLICE,F,female,80-99,
POLICE OFFICER,POLICE,F,male,80-99,
LIEUTENANT-EMT,FIRE,F,male,120-139,
POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,F,male,100-119,
FIREFIGHTER-EMT,FIRE,F,male,80-99,
POLICE OFFICER,POLICE,F,female,80-99,
FIREFIGHTER-EMT,FIRE,F,male,80-99,
POLICE OFFICER,POLICE,F,female,80-99,
SANITATION LABORER,STREETS & SAN,F,male,80-99,
AVIATION SECURITY OFFICER,AVIATION,F,male,60-79,
SERGEANT,POLICE,F,male,100-119,
POLICE OFFICER,POLICE,F,male,80-99,
POLICE OFFICER,POLICE,F,male,80-99,
SERGEANT,POLICE,F,female,120-139,
FIREFIGHTER-EMT (RECRUIT),FIRE,F,male,60-79,
POLICE OFFICER,POLICE,F,male,80-99,
MOTOR TRUCK DRIVER,STREETS & SAN,F,male,60-79,
POLICE OFFICER,POLICE,F,female,80-99,
POLICE OFFICER,POLICE,F,male,80-99,
POLICE OFFICER,POLICE,F,male,80-99,
FIREFIGHTER,FIRE,F,male,80-99,
POLICE OFFICER,POLICE,F,male,80-99,
FIREFIGHTER-EMT (RECRUIT),FIRE,F,male,60-79,
LIEUTENANT-EMT,FIRE,F,male,120-139,
POLICE OFFICER,POLICE,F,male,80-99,
POOL MOTOR TRUCK DRIVER,STREETS & SAN,F,male,60-79,
FOSTER GRANDPARENT,FAMILY & SUPPORT,P,female,0-39,
POLICE OFFICER,POLICE,F,male,60-79,
CONSTRUCTION LABORER,WATER MGMNT,F,male,80-99,
POLICE OFFICER,POLICE,F,male,80-99,
POLICE OFFICER,POLICE,F,male,60-79,
POLICE OFFICER,POLICE,F,male,80-99,
LIEUTENANT-EMT,FIRE,F,male,120-139,
FIREFIGHTER-EMT (RECRUIT),FIRE,F,male,60-79,
PARAMEDIC,FIRE,F,male,80-99,
CONSTRUCTION LABORER,WATER MGMNT,F,male,80-99,
POLICE COMMUNICATIONS OPERATOR II,OEMC,F,male,80-99,
POLICE OFFICER,POLICE,F,male,80-99,
FIREFIGHTER-EMT,FIRE,F,male,100-119,
MACHINIST (AUTOMOTIVE),DAIS,F,male,100-119,
SERGEANT,POLICE,F,male,120-139,
POLICE OFFICER,POLICE,F,female,80-99,
FIREFIGHTER-EMT,FIRE,F,male,80-99,
POLICE OFFICER,POLICE,F,male,80-99,
POLICE OFFICER,POLICE,F,male,80-99,
POLICE OFFICER,POLICE,F,male,80-99,
POLICE OFFICER,POLICE,F,female,80-99,
FIREFIGHTER/PARAMEDIC,FIRE,F,male,100-119,
POLICE OFFICER,POLICE,F,female,80-99,
FIREFIGHTER/PARAMEDIC,FIRE,F,male,100-119,
FIRE ENGINEER-EMT,FIRE,F,male,100-119,
POLICE OFFICER,POLICE,F,male,80-99,
FIREFIGHTER-EMT,FIRE,F,male,80-99,
POLICE OFFICER,POLICE,F,male,60-79,
POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,F,male,100-119,
POLICE COMMUNICATIONS OPERATOR I,OEMC,F,female,60-79,
POLICE OFFICER,POLICE,F,male,80-99,
HOISTING ENGINEER,TRANSPORTN,F,male,100-119,
FIREFIGHTER/PARAMEDIC,FIRE,F,male,100-119,
LIEUTENANT,POLICE,F,male,120-139,
POLICE OFFICER,POLICE,F,female,80-99,
POLICE OFFICER,POLICE,F,male,80-99,
FIREFIGHTER-EMT (RECRUIT),FIRE,F,female,80-99,
FIREFIGHTER-EMT,FIRE,F,male,80-99,
POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,F,male,100-119,
POLICE OFFICER,POLICE,F,male,80-99,
LIBRARIAN I,PUBLIC LIBRARY,F,female,80-99,
POLICE OFFICER,POLICE,F,female,80-99,
LIBRARY PAGE,PUBLIC LIBRARY,P,female,0-39,
POLICE OFFICER,POLICE,F,male,80-99,
POLICE OFFICER,POLICE,F,male,80-99,
ELECTRICAL MECHANIC,AVIATION,F,male,100-119,
POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,F,female,100-119,
POLICE OFFICER,POLICE,F,male,80-99,
POLICE OFFICER,POLICE,F,male,80-99,
LIEUTENANT-EMT,FIRE,F,male,120-139,
POLICE OFFICER,POLICE,F,male,80-99,
POLICE OFFICER,POLICE,F,female,80-99,
POLICE OFFICER,POLICE,F,male,80-99,
POLICE OFFICER,POLICE,F,male,80-99,
POLICE OFFICER,POLICE,F,male,80-99,
FIREFIGHTER-EMT,FIRE,F,male,80-99,
POLICE OFFICER,POLICE,F,male,80-99,
POLICE OFFICER,POLICE,F,female,80-99,
LIEUTENANT-EMT,FIRE,F,male,120-139,
FIRE ENGINEER-EMT,FIRE,F,male,100-119,
POLICE OFFICER,POLICE,F,male,80-99,
PARAMEDIC I/C,FIRE,F,male,100-119,
POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,F,male,80-99,
POLICE OFFICER,POLICE,F,male,80-99,
POLICE OFFICER (ASSIGNED AS EVIDENCE TECHNICIAN),POLICE,F,female,80-99,
LIEUTENANT,FIRE,F,male,120-139,
MOTOR TRUCK DRIVER,STREETS & SAN,F,male,60-79,
POLICE OFFICER,POLICE,F,male,80-99,
POLICE OFFICER,POLICE,F,male,80-99,
POLICE OFFICER,POLICE,F,male,80-99,
POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,F,male,100-119,
MOTOR TRUCK DRIVER,TRANSPORTN,F,male,60-79,
CAPTAIN-EMT,FIRE,F,male,140+,
PARAMEDIC I/C,FIRE,F,female,100-119,
FIRE ENGINEER-EMT,FIRE,F,male,100-119,
FIREFIGHTER-EMT,FIRE,F,male,100-119,
POLICE OFFICER,POLICE,F,female,80-99,
POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,F,male,100-119,
FIREFIGHTER-EMT (RECRUIT),FIRE,F,male,80-99,
ELECTRICAL MECHANIC,DAIS,F,male,100-119,
POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,F,male,80-99,
